player_type,main_genre,recommendations,windows,mac,linux
Single_player,Action,476.0,True,False,False
Single_player,,392.0,True,True,False
Single_player,Adventure,207.0,True,False,False
Single_player,Action,934.0,True,False,False
Single_player,RPG,2617.0,True,True,True
Multi_player,Strategy,285.0,True,False,False
Single_player,Strategy,0.0,True,False,False
Single_player,Simulation,314.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Action,4149.0,True,False,False
Single_player,Action,8414.0,True,False,False
Single_player,Action,24853.0,True,False,False
Single_player,Action,880.0,True,False,False
Single_player,Action,3316.0,True,False,False
Single_player,Action,2031.0,True,False,False
Multi_player,Racing,376.0,True,False,False
Single_player,Action,158.0,True,False,False
Single_player,Action,114.0,True,False,False
Single_player,Action,8376.0,True,False,False
Multi_player,Action,43485.0,True,False,False
Multi_player,Action,6789.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Action,1612.0,True,False,False
Single_player,Action,300.0,True,False,False
Single_player,Adventure,0.0,True,False,False
Multi_player,Racing,2058.0,True,False,False
Single_player,Strategy,0.0,True,False,False
Single_player,Strategy,0.0,True,False,False
Multi_player,Action,0.0,True,False,False
Multi_player,Strategy,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Adventure,0.0,True,False,False
Single_player,Adventure,0.0,True,False,False
Multi_player,Strategy,145.0,True,False,False
Single_player,Strategy,257.0,True,False,False
Single_player,Strategy,121.0,True,False,False
Multi_player,Casual,563.0,True,False,False
Single_player,Strategy,103.0,True,False,False
Single_player,Racing,272.0,True,False,False
Single_player,Action,0.0,True,False,False
Single_player,Casual,0.0,True,False,False
Single_player,Simulation,0.0,True,False,False
Single_player,,0.0,True,False,False
Single_player,,0.0,True,False,False
Multi_player,Racing,0.0,True,False,False
Single_player,Racing,0.0,True,False,False
Single_player,RPG,226.0,True,False,False
Single_player,Simulation,0.0,True,False,False
Single_player,Simulation,128.0,True,False,False
Single_player,RPG,740.0,True,True,True
Single_player,RPG,208.0,True,False,False
Multi_player,Action,145.0,True,False,False
Single_player,RPG,1946.0,True,True,True
Single_player,Action,1004.0,True,False,False
Single_player,,7425.0,True,False,False
Multi_player,Casual,0.0,True,False,False
Multi_player,Action,0.0,True,False,False
Single_player,Action,281.0,True,False,False
